title,normalized_job_title,normalized_job_code
Data Management Manager,data management manager,59dab7d0a3ee97d939aa8b1a8deec857
Data Processing Supervisor,data processing supervisor,afea0e0169a98ee264db2ddb1c6e6a34
Weight in Motion Field Data Collection Technician,weight in motion field data collection technician,0facaffe51cc1998a5fbdbe5fd18fd98
Scientific Database Curator,scientific database curator,ccf2c4daae069f054cada4c911819a17
"Operations Officer, Afloat (Naval Tactical Data Systems)",operations officer afloat naval tactical data systems,1426c924e1b6b162f6bfdd1906d98d0e
Data Analyst,data analyst,eb3d789747d52df803ce63fe37bf53e9
Data Entry Operator,data entry operator,bdf4dcd92089bc17345de83f4d06090f
Data Reviewer,data reviewer,5285758deb04c98f58cbae2747195f33
Data Communications Technician,data communications technician,04c27c76b463a917800549cf88a59961
Database Technician,database technician,631bc3a12ed11340fc94ebfffa8f5f4e
Analytical Data Miner,analytical data miner,b0fa6ede410f50b82ab74f5a705fe699
Data Analysis Assistant,data analysis assistant,559a21f836c93876f31b60e6d10656a7
Data Examination Clerk,data examination clerk,c1fb1a01b78373ac2153c66fa08d16dc
Data Entry Clerk,data entry clerk,05bb9a333a66d6eb151e253623efe1c0
Data Capture Clerk,data capture clerk,4cee16550636e292b8d136486fce943b
